HIP,MH,eMH,Teff,eTeff,logg_x,elogg,L,eL,label,#Id,age,age_68L,age_68U,mass,mass_68L,mass_68U,logg_y,logg_68L,logg_68U,rad,rad_68L,rad_68U,logrho,logrho_68L,logrho_68U,logg_spec,logg
840,-0.1,0.024,4849,34,2.908,0.08,17.3043192425,1.1116840249,field,840,4.8687,3.811,6.2341,1.2295,1.146,1.3176,2.9703,2.9303,3.0104,5.8833,5.6931,6.0803,-2.2382,-2.2884,-2.1877,2.908,2.9703
1708,0.149,0.047,4970,57,2.485,0.166,89.7274516446,7.9062918701,field,1708,0.485,0.4023,0.5818,2.8759,2.7429,2.9971,2.6604,2.6251,2.6942,12.8454,12.2797,13.434,-2.8875,-2.94,-2.8355,2.485,2.6604
2611,-0.047,0.034,4822,46,2.574,0.13,61.9677975247,6.6213767093,host,2611,2.0601,1.5641,3.0849,1.6069,1.4113,1.7727,2.5333,2.4773,2.5969,11.0014,10.781,11.2647,-2.9514,-3.0096,-2.8773,2.574,2.5333
3031,-0.504,0.026,5059,27,2.638,0.047,46.7883464935,1.6383590225,field,3031,1.2041,1.0831,1.302,1.7038,1.6614,1.7675,2.7407,2.7228,2.7584,9.0435,8.8887,9.2049,-2.6539,-2.6776,-2.6318,2.638,2.7407
3179,0.016,0.057,4806,84,2.379,0.18,703.019873527,25.3731947088,field,3179,0.1397,0.1279,0.1508,4.4709,4.3678,4.5757,1.9315,1.9069,1.951,37.1637,36.1192,38.3292,-4.0775,-4.1145,-4.0462,2.379,1.9315
3231,-0.029,0.026,5169,30,2.865,0.087,87.2185171702,6.4171456521,field,3231,0.3308,0.3159,0.3467,3.0368,2.9785,3.0939,2.7925,2.7675,2.8174,11.347,10.9317,11.7778,-2.7009,-2.7421,-2.6601,2.865,2.7925
3607,-0.125,0.028,4948,35,2.741,0.092,57.875849441,3.8504384495,field,3607,1.2322,1.1349,1.3585,1.9153,1.8239,2.0351,2.6906,2.6492,2.7335,10.1638,9.8493,10.492,-2.7554,-2.8085,-2.7013,2.741,2.6906
3750,-0.104,0.026,4825,38,2.841,0.102,18.9880178607,2.436669962,field,3750,5.0689,3.6796,6.975,1.2152,1.1102,1.3307,2.9139,2.8647,2.9644,6.2393,5.8744,6.6292,-2.3201,-2.3903,-2.2487,2.841,2.9139
3834,0.042,0.029,4988,39,3.216,0.092,14.9484371492,1.1435576198,host,3834,1.891,1.5842,2.2296,1.6421,1.5665,1.7392,3.2171,3.1792,3.2553,5.126,4.9325,5.3267,-1.9314,-1.9834,-1.8791,3.216,3.2171
4422,-0.328,0.026,4905,28,2.504,0.095,56.9904431333,2.3194078536,field,4422,7.056,4.037,10.7492,1.0127,0.914,1.2154,2.3775,2.3583,2.4376,10.5582,10.2671,10.7989,-3.0801,-3.0958,-3.035,2.504,2.3775
4552,0.143,0.033,4917,47,3.244,0.163,13.5659710981,0.7299841758,host,4552,2.3281,1.9441,2.9475,1.5841,1.4835,1.6667,3.213,3.1697,3.2533,5.0462,4.8913,5.2067,-1.9291,-1.9833,-1.8769,3.244,3.213
4906,-0.233,0.025,4929,28,2.597,0.065,64.2429072731,2.4122923913,field,4906,1.6091,1.4078,1.9181,1.6738,1.5745,1.7622,2.5706,2.5306,2.6052,10.8994,10.6775,11.0639,-2.9053,-2.9518,-2.8632,2.597,2.5706
4914,-0.271,0.026,4598,46,2.4,0.112,92.18611678,5.7647969498,field,4914,2.2402,1.6873,3.2738,1.489,1.3311,1.621,2.2631,2.2002,2.3142,14.6264,14.1091,15.1583,-3.3419,-3.4141,-3.2781,2.4,2.2631
5364,0.092,0.047,4638,85,2.487,0.187,74.1720381691,2.3160804608,field,5364,1.8828,1.3184,3.0346,1.709,1.475,1.9151,2.4158,2.3396,2.4762,13.1791,12.6425,13.6494,-3.1448,-3.2297,-3.0688,2.487,2.4158
9631,-0.049,0.047,4885,59,2.721,0.141,55.0293211695,8.1025487859,field,9631,1.3029,1.0833,1.6566,1.8951,1.7226,2.0788,2.6771,2.5841,2.7546,10.3071,9.6996,10.9313,-2.7747,-2.8927,-2.6726,2.721,2.6771
9884,-0.133,0.033,4575,60,2.322,0.149,82.6579123826,2.5659392102,host,9884,2.5251,1.7543,4.4286,1.482,1.2523,1.6501,2.2849,2.1973,2.351,14.1566,13.7784,14.5994,-3.3056,-3.402,-3.2299,2.322,2.2849
11432,-0.066,0.032,4613,56,2.419,0.146,55.304657569,4.1064515851,field,11432,6.0137,3.3501,10.0444,1.1481,0.9793,1.3829,2.3935,2.3421,2.4475,10.9811,10.6897,11.6543,-3.0871,-3.1368,-3.0389,2.419,2.3935
11791,0.03,0.029,4885,41,2.853,0.093,51.4810034963,4.0644851617,host,11791,1.153,1.0092,1.2781,2.0321,1.9351,2.1694,2.7572,2.7107,2.8041,9.7072,9.347,10.0733,-2.6687,-2.7288,-2.6073,2.853,2.7572
12247,0.046,0.037,4897,52,2.768,0.124,50.5256794182,4.4604414215,host,12247,1.1543,0.9637,1.3106,2.0439,1.9239,2.2213,2.7575,2.7003,2.8151,9.7473,9.3318,10.1696,-2.6698,-2.7433,-2.5959,2.768,2.7575
20889,0.224,0.048,4954,65,2.751,0.167,81.5017434577,3.0137109056,host,20889,0.5026,0.4229,0.5975,2.8583,2.7464,2.9542,2.693,2.6659,2.7129,12.364,12.0947,12.6447,-2.8384,-2.8729,-2.8101,2.751,2.693
27253,0.365,0.033,5632,42,3.808,0.066,5.5413601226,0.2382919176,host,27253,3.335,3.1914,3.4846,1.4491,1.4289,1.4696,3.8092,3.7925,3.8266,2.4324,2.3682,2.496,-1.0155,-1.0433,-0.9868,3.808,3.8092
31592,0.217,0.046,4801,84,3.18,0.174,11.6258311274,0.3572788855,host,31592,4.5288,2.979,7.2159,1.3435,1.1823,1.5045,3.1668,3.0881,3.2377,4.9075,4.761,5.0635,-1.9629,-2.0537,-1.8801,3.18,3.1668
36616,0.144,0.035,4648,62,2.507,0.144,76.7124091069,4.7328579462,host,36616,1.6551,1.0948,2.4949,1.8209,1.5904,2.0792,2.4404,2.3821,2.4983,13.1688,12.5423,13.757,-3.1181,-3.1881,-3.0479,2.507,2.4404
36795,0.05,0.055,6289,79,3.753,0.123,8.4459302827,0.2734820549,host,36795,1.8941,1.758,2.4784,1.5778,1.4733,1.6131,3.8527,3.8245,3.8732,2.4083,2.3503,2.4647,-0.9686,-1.0018,-0.9383,3.753,3.8527
37826,0.113,0.032,4943,45,3.014,0.105,38.6082266259,1.1538397831,host,37826,0.8883,0.8051,0.984,2.2152,2.1477,2.2808,2.8994,2.8807,2.9163,8.574,8.5032,8.6619,-2.4726,-2.4941,-2.4531,3.014,2.8994
39311,-0.366,0.025,4382,54,2.033,0.156,157.194983605,7.6659969856,host,39311,5.313,3.6219,8.2781,1.1348,0.9987,1.2699,1.8228,1.7489,1.8879,21.1672,20.5082,21.8583,-3.9426,-4.0231,-3.8663,2.033,1.8228
40526,-0.252,0.046,4153,100,1.413,0.316,610.081021259,28.0333181822,host,40526,1.7571,1.2448,2.9851,1.6177,1.3682,1.8278,1.2632,1.1627,1.3426,48.1719,46.1176,50.2884,-4.8451,-4.9355,-4.7551,1.413,1.2632
42527,-0.137,0.035,4525,65,2.309,0.173,119.986112131,6.0326280779,host,42527,1.6996,1.1797,2.6087,1.6646,1.4645,1.8756,2.1591,2.083,2.2348,17.397,16.7669,18.0583,-3.5203,-3.6095,-3.432,2.309,2.1591
46390,-0.061,0.051,4215,110,1.598,0.349,834.981482703,29.614267872,field,46390,0.3993,0.1922,0.7378,3.0981,2.4994,3.7638,1.47,1.3252,1.5973,52.508,49.7641,56.0294,-4.6769,-4.8339,-4.5366,1.598,1.47
46471,-0.291,0.024,4817,29,2.417,0.079,57.2435955615,4.1848758899,host,46471,7.1998,4.8808,10.4763,1.0171,0.9274,1.154,2.375,2.3512,2.4151,10.6437,10.3859,10.8573,-3.0852,-3.1094,-3.0565,2.417,2.375
48455,0.224,0.064,4572,137,2.625,0.316,52.6155666987,1.6722690378,host,48455,3.5918,1.9726,5.7074,1.4398,1.2393,1.736,2.4779,2.4157,2.572,11.1525,10.9343,11.3631,-3.0102,-3.072,-2.9099,2.625,2.4779
50546,0.229,0.047,4844,83,3.34,0.171,8.6845404216,0.3826754954,field,50546,4.487,3.0246,7.058,1.3465,1.1904,1.495,3.3106,3.2348,3.3777,4.162,4.0251,4.3043,-1.7476,-1.8359,-1.6679,3.34,3.3106
50583,-0.381,0.032,4495,54,2.011,0.152,340.283565515,17.293591027,host,50583,1.0417,0.8093,1.2652,1.9875,1.8091,2.2701,1.7757,1.7124,1.8543,29.6241,28.5882,30.7026,-4.1345,-4.2112,-4.0427,2.011,1.7757
50786,0.356,0.066,6408,92,4.122,0.179,6.1936126944,0.2366234687,host,50786,1.3923,1.1757,1.5961,1.6129,1.5856,1.6407,4.0322,4.0029,4.062,1.984,1.918,2.0525,-0.7041,-0.7477,-0.66,4.122,4.0322
52686,0.154,0.041,4634,74,2.71,0.197,25.7494975014,1.0350931742,field,52686,5.8438,3.5948,10.1063,1.2416,1.0681,1.4233,2.7242,2.6294,2.8079,7.8556,7.5761,8.1615,-2.6096,-2.7194,-2.5122,2.71,2.7242
56510,-0.129,0.03,4810,39,2.523,0.093,114.311259019,19.6735599149,field,56510,0.896,0.5428,1.9245,2.1742,1.6259,2.54,2.4634,2.4148,2.5126,13.7653,12.1739,15.3515,-3.1114,-3.1932,-3.0306,2.523,2.4634
56583,-0.214,0.029,4939,34,2.679,0.072,46.7432174352,1.9332854811,field,56583,1.1222,1.0597,1.1982,1.8945,1.8144,1.9389,2.7622,2.7285,2.7903,9.2708,9.0509,9.4958,-2.6442,-2.6871,-2.6065,2.679,2.7622
57757,0.268,0.026,6268,36,4.127,0.137,3.4552699579,0.1027906847,field,57757,1.8645,1.6554,2.0614,1.388,1.3745,1.4015,4.1781,4.1627,4.1943,1.5561,1.5265,1.5862,-0.4527,-0.476,-0.4288,4.127,4.1781
58110,0.053,0.028,5050,36,3.225,0.092,16.4192732768,0.7202913259,field,58110,1.2832,1.1714,1.4382,1.8727,1.7967,1.9379,3.2493,3.2187,3.2778,5.2639,5.1328,5.3994,-1.9111,-1.9509,-1.8727,3.225,3.2493
58952,-0.285,0.031,4766,43,2.549,0.102,53.0956759334,3.0121520583,host,58952,6.4172,2.4752,10.7178,1.0598,0.9241,1.4377,2.3885,2.3546,2.5328,10.5268,10.2715,10.7871,-3.077,-3.1035,-2.928,2.549,2.3885
59316,-0.009,0.051,4436,103,1.831,0.27,835.142409551,35.7713586327,field,59316,0.1578,0.1227,0.2032,4.1289,3.7237,4.6034,1.6605,1.5865,1.7481,48.6503,46.273,50.7674,-4.4657,-4.5561,-4.3575,1.831,1.6605
59501,-0.053,0.035,5004,41,2.747,0.103,99.009946601,7.552469385,field,59501,0.4677,0.3894,0.5679,2.814,2.6638,2.9313,2.6484,2.6154,2.6793,12.8733,12.3847,13.3812,-2.9004,-2.9474,-2.8547,2.747,2.6484
60202,-0.265,0.031,4830,36,2.487,0.081,114.010226028,5.5755028851,field,60202,0.6543,0.5459,0.9633,2.2543,2.0887,2.406,2.4234,2.3839,2.4597,14.9266,14.5201,15.3467,-3.1898,-3.2373,-3.1456,2.487,2.4234
61740,0.15,0.066,4487,128,2.072,0.304,151.733628016,9.0878963852,host,61740,1.362,0.9562,2.6184,1.9878,1.564,2.3175,2.0903,1.9398,2.1958,20.7119,19.5535,22.0252,-3.6641,-3.8393,-3.5376,2.072,2.0903
64078,0.097,0.035,4706,57,2.552,0.177,92.4893286515,4.4193912544,field,64078,0.8792,0.6476,1.2656,2.255,2.0202,2.5266,2.4637,2.3971,2.5365,14.2564,13.7124,14.7581,-3.13,-3.2077,-3.0423,2.552,2.4637
64408,0.218,0.02,5745,27,4.024,0.082,4.14025628,0.1312924091,host,64408,4.6724,4.5089,4.8297,1.2839,1.2702,1.2985,3.9188,3.9061,3.9317,2.0174,1.9803,2.0555,-0.8246,-0.845,-0.8045,4.024,3.9188
66903,0.068,0.034,4891,44,2.676,0.115,47.2830342243,2.6740946796,host,66903,1.1698,1.0487,1.2775,2.0251,1.9434,2.1406,2.7684,2.7253,2.8131,9.5554,9.2578,9.8646,-2.6504,-2.7064,-2.5929,2.676,2.7684
67927,0.189,0.136,6319,207,4.907,0.203,8.5648900913,0.2906142749,field,67927,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,4.907,-99.9
68895,-0.046,0.031,4634,54,2.564,0.132,59.9027237736,1.8560446909,field,68895,3.1414,2.1465,6.3704,1.4119,1.1304,1.5818,2.4367,2.3404,2.5009,11.6003,11.0748,11.9951,-3.0683,-3.1654,-2.991,2.564,2.4367
70012,-0.058,0.032,4867,42,2.646,0.104,61.7489533001,3.5653740686,field,70012,1.6024,1.3427,2.0134,1.7472,1.6108,1.8962,2.5912,2.5386,2.6455,10.8822,10.5556,11.1125,-2.8843,-2.9454,-2.8188,2.646,2.5912
70027,0.261,0.055,4618,101,2.57,0.243,47.9674065035,1.8567767639,field,70027,6.9168,1.9233,10.11,1.1825,1.0486,1.7441,2.4042,2.3615,2.5842,11.0091,10.6575,11.2406,-3.077,-3.1186,-2.8933,2.57,2.4042
70987,-0.058,0.036,4812,47,2.497,0.112,42.2380132464,4.2651994214,field,70987,7.1707,1.8849,12.499,1.0764,0.9224,1.6294,2.3943,2.3629,2.6614,10.3704,9.7047,10.8131,-3.072,-3.0911,-2.7631,2.497,2.3943
71837,-0.133,0.029,5038,34,2.834,0.074,93.7337220552,8.1270607117,field,71837,0.4894,0.4131,0.6174,2.6954,2.5406,2.8128,2.6886,2.6563,2.7194,12.0209,11.5355,12.5201,-2.8304,-2.8775,-2.7839,2.834,2.6886
72125,0.06,0.038,5096,48,3.069,0.094,79.9456308557,3.6993249399,field,72125,0.3443,0.3328,0.3578,3.0308,2.9788,3.0779,2.812,2.7919,2.8333,11.0653,10.7754,11.3442,-2.672,-2.6995,-2.6386,3.069,2.812
